Link,Subject,University,Location,Beginning,Tuition Fees per Semester,Language,Duration,Application Deadline
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7606/,Computer Science,University of Bonn •,Bonn,"Winter semester, Summer semester",none,English,4 semesters,"For the winter semester: 1 May for non-EU citizens, 1 September for EU citizens and nationals from countries that are visa-exemptedFor the summer semester: 1 November for non-EU citizens, 1 March for EU citizens and nationals from countries that are visa-exemptedPlease verify these dates on our website before applying:https://www.informatik.uni-bonn.de/en/studies/examination-office/deadlines-at-a-glance#AdmissionMaster"
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4521/,Master of Science in International Software Systems Science,University of Bamberg •,Bamberg,"Winter semester, Summer semester",none,English,4 semesters,EU applicants: The registration is open from 15 March for the summer semester and 15 September for the winter semester.Non-EU applicants: The registration is open from 1 June for the following winter semester and from 1 December for the following summer semester.For current deadlines please visit thiswebsite.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4132/,International Master's Programme in Advanced Computational and Civil Engineering Structural Studies (ACCESS),Dresden University of Technology •,Dresden,Winter semester,none,English,4 semesters,31 May for the following winter semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4384/,Web and Data Science (MSc),University of Koblenz •,Koblenz,Winter semester,none,English,4 semesters,EU applicants:15 July for the following winter semesterNon-EU applicants:15 June for the following winter semesterThe number of students accepted per year is limited.It is recommended to apply as early as possible to allow sufficient time for the visa application process.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3696/,Software Systems Engineering,RWTH Aachen University •,Aachen,Winter semester,none,English,4 semesters,Applicants who are citizens of countriesoutside the European Union (EU) and European Economic Area (EEA):1 Marchfor the following winter semesterApplicants who are citizens of countries in theEU or EEA:15 Julyfor the following winter semesterFirst-semester students are only allowed to start the programme in the winter semester.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4486/,Master of Science in Cognitive Science,RPTU University of Kaiserslautern-Landau •,Kaiserslautern,Winter semester,none,English,4 semesters,"30 April (all international students),  31 August (for German students ""Bildungsinländer"") for the following winter semester"
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/3629/,Computer Science (Master of Science),RPTU University of Kaiserslautern-Landau •,Kaiserslautern,"Winter semester, Summer semester",none,English,4 semesters,For international applicants applying from abroad who need a visa:30 April for the following winter semester31 October for the following summer semesterOthers:15 January for the following summer semester15 July for the following winter semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7660/,Data Science,Technische Universität Braunschweig •,Braunschweig,"Winter semester, Summer semester",none,English,4 semesters,Winter semester:15 March (for non-EU applicants)15 July (for EU applicants and applicants not subject to visa requirements)Summer semester:15 September (for non-EU applicants)15 January (for EU applicants and applicants not subject to visa requirements)
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7025/,Cognitive Science,Technical University of Darmstadt •,Darmstadt,Winter semester,none,English,4 semesters,"For details, please check""information for applicants with international certificates""."
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7636/,Data Science,RWTH Aachen University •,Aachen,"Winter semester, Summer semester",none,English,4 semesters,Non-EU applicants:1 March for the following winter semester1 September for the following summer semesterEU applicants:15 July for the following winter semester15 January for the following summer semesterClick herefordetails and exceptions.Click herefor an overview of theacademic requirementsfor the Master of Data Science at RWTH Aachen.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4556/,Management & Data Science (MSc),Leuphana University Lüneburg •,Lüneburg,Winter semester,none,English,4 semesters,Online application for students with EU degrees directly at Leuphana University until 1 JuneOnline application for students with non-EU degrees via uni-assist until 1 May
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4350/,Master of Science in Intelligent Adaptive Systems (IAS),Universität Hamburg •,Hamburg,Winter semester,none,English,4 semesters,31 March for the following winter semester forallapplicants. No summer semester intake.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/6937/,Artificial Intelligence and Data Science,Heinrich Heine University Düsseldorf •,Düsseldorf,Winter semester,none,English,4 semesters,15-Jul
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4001/,Master of Science in Software Engineering,University of Augsburg •,Augsburg,Winter semester,none,English,4 semesters,All applicants: 1 May for the following winter semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/5625/,Master of Science in Computer Engineering,Paderborn University •,Paderborn,"Winter semester, Summer semester",none,English,4 semesters,Winter semester (starting in October): 31 MaySummer semester (starting in April): 30 November
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7641/,Applied Data Science (MSc),University of Göttingen •,Göttingen,"Winter semester, Summer semester",none,English,4 semesters,1 May for applications for the winter semester1 November of the preceding year for applications for the summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/9046/,Data Science (MSc),Philipps-Universität Marburg •,Marburg,"Winter semester, Summer semester",none,English,4 semesters,All details can be found at:https://www.uni-marburg.de/en/studying/admissions/deadlines.
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4010/,Master of Science in Information Systems,University of Münster •,Münster,"Winter semester, Summer semester",none,English,4 semesters,EU and non-EU students via online portal:10 May to 15 July for the following winter semester10 November to 15 January for the following summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4427/,Digital Engineering (DigiEng),Otto von Guericke University Magdeburg •,Magdeburg,"Winter semester, Summer semester",none,English,4 semesters,"Winter semester: 15 May (international applicants)Summer semester: 15 November (international applicants)Dates may differ for the current semester, please check the programme website."
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4238/,Computer Science for Digital Media,Bauhaus-Universität Weimar •,Weimar,"Winter semester, Summer semester",none,English,4 semesters,Applicants who graduated outside the European Union:15 July for the following winter semester15 January for the following summer semesterApplicants who graduated within the EU:30 September for the following winter semester31 March for the following summer semester
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/7784/,Master of Science in Artificial Intelligence Engineering,University of Passau •,Passau,"Winter semester, Summer semester",none,English,4 semesters,"The application round for the April intake starts in mid-November of the previous year. For the October intake, the application round starts in early April. As the application deadlines can currently change on short notice, we ask that you checkour application pagescloser to the time for the specific dates (and what documents you need to submit)."
https://www2.daad.de/deutschland/studienangebote/international-programmes/en/detail/4800/,Master of Science in Management and Digital Technologies,Ludwig-Maximilians-Universität München •,München,Winter semester,none,English,4 semesters,Application submission: From 1 February until 15 MayApplication review: Until the end of MayCandidate assessment: Mid-JuneFinal decision: Until the end of June
